Numero_Secuencial,Mesa_ID,Ruta,Estado
197,8000841,ACTAS_1000\acta_0197.jpg,OK
198,8000851,ACTAS_1000\acta_0198.jpg,OK
200,8000871,ACTAS_1000\acta_0200.jpg,OK
199,8000861,ACTAS_1000\acta_0199.jpg,OK
202,8000891,ACTAS_1000\acta_0202.jpg,OK
201,8000881,ACTAS_1000\acta_0201.jpg,OK
203,8000901,ACTAS_1000\acta_0203.jpg,OK
204,8000911,ACTAS_1000\acta_0204.jpg,OK
205,8000921,ACTAS_1000\acta_0205.jpg,OK
206,8000931,ACTAS_1000\acta_0206.jpg,OK
207,8000941,ACTAS_1000\acta_0207.jpg,OK
208,8000951,ACTAS_1000\acta_0208.jpg,OK
211,8002091,ACTAS_1000\acta_0211.jpg,OK
209,8000961,ACTAS_1000\acta_0209.jpg,OK
212,8002101,ACTAS_1000\acta_0212.jpg,OK
213,8002111,ACTAS_1000\acta_0213.jpg,OK
210,8000971,ACTAS_1000\acta_0210.jpg,OK
214,8002121,ACTAS_1000\acta_0214.jpg,OK
215,8002131,ACTAS_1000\acta_0215.jpg,OK
216,8002141,ACTAS_1000\acta_0216.jpg,OK
217,8002151,ACTAS_1000\acta_0217.jpg,OK
218,8002491,ACTAS_1000\acta_0218.jpg,OK
219,8002501,ACTAS_1000\acta_0219.jpg,OK
220,8002511,ACTAS_1000\acta_0220.jpg,OK
221,8002521,ACTAS_1000\acta_0221.jpg,OK
222,8002531,ACTAS_1000\acta_0222.jpg,OK
223,8002541,ACTAS_1000\acta_0223.jpg,OK
225,8002921,ACTAS_1000\acta_0225.jpg,OK
224,8002911,ACTAS_1000\acta_0224.jpg,OK
226,8002931,ACTAS_1000\acta_0226.jpg,OK
227,8002941,ACTAS_1000\acta_0227.jpg,OK
229,8002961,ACTAS_1000\acta_0229.jpg,OK
228,8002951,ACTAS_1000\acta_0228.jpg,OK
230,8002971,ACTAS_1000\acta_0230.jpg,OK
231,8002981,ACTAS_1000\acta_0231.jpg,OK
232,8002991,ACTAS_1000\acta_0232.jpg,OK
233,8003001,ACTAS_1000\acta_0233.jpg,OK
234,8003011,ACTAS_1000\acta_0234.jpg,OK
235,8003701,ACTAS_1000\acta_0235.jpg,OK
236,8003711,ACTAS_1000\acta_0236.jpg,OK
237,8003721,ACTAS_1000\acta_0237.jpg,OK
238,8003731,ACTAS_1000\acta_0238.jpg,OK
239,8003741,ACTAS_1000\acta_0239.jpg,OK
240,8003751,ACTAS_1000\acta_0240.jpg,OK
241,8003761,ACTAS_1000\acta_0241.jpg,OK
242,8003771,ACTAS_1000\acta_0242.jpg,OK
244,8003791,ACTAS_1000\acta_0244.jpg,OK
246,8000171,ACTAS_1000\acta_0246.jpg,OK
243,8003781,ACTAS_1000\acta_0243.jpg,OK
245,8003801,ACTAS_1000\acta_0245.jpg,OK
247,8000181,ACTAS_1000\acta_0247.jpg,OK
248,8000191,ACTAS_1000\acta_0248.jpg,OK
249,8003611,ACTAS_1000\acta_0249.jpg,OK
250,8003621,ACTAS_1000\acta_0250.jpg,OK
251,8003631,ACTAS_1000\acta_0251.jpg,OK
253,8002161,ACTAS_1000\acta_0253.jpg,OK
254,8002171,ACTAS_1000\acta_0254.jpg,OK
252,8003641,ACTAS_1000\acta_0252.jpg,OK
255,8002181,ACTAS_1000\acta_0255.jpg,OK
256,8002191,ACTAS_1000\acta_0256.jpg,OK
257,8002201,ACTAS_1000\acta_0257.jpg,OK
258,8002211,ACTAS_1000\acta_0258.jpg,OK
259,8002221,ACTAS_1000\acta_0259.jpg,OK
261,8002241,ACTAS_1000\acta_0261.jpg,OK
262,8000011,ACTAS_1000\acta_0262.jpg,OK
263,8000021,ACTAS_1000\acta_0263.jpg,OK
260,8002231,ACTAS_1000\acta_0260.jpg,OK
264,8000031,ACTAS_1000\acta_0264.jpg,OK
268,8003561,ACTAS_1000\acta_0268.jpg,OK
265,8000041,ACTAS_1000\acta_0265.jpg,OK
266,8003541,ACTAS_1000\acta_0266.jpg,OK
269,8003571,ACTAS_1000\acta_0269.jpg,OK
270,8003581,ACTAS_1000\acta_0270.jpg,OK
271,8003591,ACTAS_1000\acta_0271.jpg,OK
272,8003601,ACTAS_1000\acta_0272.jpg,OK
267,8003551,ACTAS_1000\acta_0267.jpg,OK
273,8001121,ACTAS_1000\acta_0273.jpg,OK
274,8001131,ACTAS_1000\acta_0274.jpg,OK
275,8001141,ACTAS_1000\acta_0275.jpg,OK
276,8001151,ACTAS_1000\acta_0276.jpg,OK
277,8001161,ACTAS_1000\acta_0277.jpg,OK
278,8001171,ACTAS_1000\acta_0278.jpg,OK
280,8001191,ACTAS_1000\acta_0280.jpg,OK
279,8001181,ACTAS_1000\acta_0279.jpg,OK
281,8001201,ACTAS_1000\acta_0281.jpg,OK
282,8001211,ACTAS_1000\acta_0282.jpg,OK
284,8001231,ACTAS_1000\acta_0284.jpg,OK
283,8001221,ACTAS_1000\acta_0283.jpg,OK
286,8001251,ACTAS_1000\acta_0286.jpg,OK
287,8001261,ACTAS_1000\acta_0287.jpg,OK
288,8001271,ACTAS_1000\acta_0288.jpg,OK
289,8001281,ACTAS_1000\acta_0289.jpg,OK
292,8003021,ACTAS_1000\acta_0292.jpg,OK
290,8001291,ACTAS_1000\acta_0290.jpg,OK
285,8001241,ACTAS_1000\acta_0285.jpg,OK
291,8001301,ACTAS_1000\acta_0291.jpg,OK
293,8003031,ACTAS_1000\acta_0293.jpg,OK
294,8003041,ACTAS_1000\acta_0294.jpg,OK
295,8003051,ACTAS_1000\acta_0295.jpg,OK
296,8003061,ACTAS_1000\acta_0296.jpg,OK
297,8003071,ACTAS_1000\acta_0297.jpg,OK
298,8003081,ACTAS_1000\acta_0298.jpg,OK
299,8003091,ACTAS_1000\acta_0299.jpg,OK
302,8003121,ACTAS_1000\acta_0302.jpg,OK
303,8003131,ACTAS_1000\acta_0303.jpg,OK
300,8003101,ACTAS_1000\acta_0300.jpg,OK
301,8003111,ACTAS_1000\acta_0301.jpg,OK
304,8003141,ACTAS_1000\acta_0304.jpg,OK
305,8003151,ACTAS_1000\acta_0305.jpg,OK
306,8003161,ACTAS_1000\acta_0306.jpg,OK
307,8000201,ACTAS_1000\acta_0307.jpg,OK
308,8000211,ACTAS_1000\acta_0308.jpg,OK
310,8000231,ACTAS_1000\acta_0310.jpg,OK
309,8000221,ACTAS_1000\acta_0309.jpg,OK
311,8003861,ACTAS_1000\acta_0311.jpg,OK
312,8003871,ACTAS_1000\acta_0312.jpg,OK
313,8003881,ACTAS_1000\acta_0313.jpg,OK
314,8003891,ACTAS_1000\acta_0314.jpg,OK
316,8003911,ACTAS_1000\acta_0316.jpg,OK
317,8000051,ACTAS_1000\acta_0317.jpg,OK
318,8000061,ACTAS_1000\acta_0318.jpg,OK
319,8000071,ACTAS_1000\acta_0319.jpg,OK
321,8000091,ACTAS_1000\acta_0321.jpg,OK
320,8000081,ACTAS_1000\acta_0320.jpg,OK
322,8000101,ACTAS_1000\acta_0322.jpg,OK
315,8003901,ACTAS_1000\acta_0315.jpg,OK
323,8000111,ACTAS_1000\acta_0323.jpg,OK
324,8002251,ACTAS_1000\acta_0324.jpg,OK
325,8002261,ACTAS_1000\acta_0325.jpg,OK
326,8002271,ACTAS_1000\acta_0326.jpg,OK
