Numero_Secuencial,Mesa_ID,Ruta,Estado
240,100624,ACTAS_EXTRANJERAS_1000\acta_extranjera_0240.jpg,OK
241,100634,ACTAS_EXTRANJERAS_1000\acta_extranjera_0241.jpg,OK
242,100644,ACTAS_EXTRANJERAS_1000\acta_extranjera_0242.jpg,OK
244,100594,ACTAS_EXTRANJERAS_1000\acta_extranjera_0244.jpg,OK
243,100654,ACTAS_EXTRANJERAS_1000\acta_extranjera_0243.jpg,OK
246,101614,ACTAS_EXTRANJERAS_1000\acta_extranjera_0246.jpg,OK
245,101604,ACTAS_EXTRANJERAS_1000\acta_extranjera_0245.jpg,OK
249,101644,ACTAS_EXTRANJERAS_1000\acta_extranjera_0249.jpg,OK
248,101634,ACTAS_EXTRANJERAS_1000\acta_extranjera_0248.jpg,OK
247,101624,ACTAS_EXTRANJERAS_1000\acta_extranjera_0247.jpg,OK
250,100194,ACTAS_EXTRANJERAS_1000\acta_extranjera_0250.jpg,OK
251,100204,ACTAS_EXTRANJERAS_1000\acta_extranjera_0251.jpg,OK
252,100214,ACTAS_EXTRANJERAS_1000\acta_extranjera_0252.jpg,OK
253,100224,ACTAS_EXTRANJERAS_1000\acta_extranjera_0253.jpg,OK
257,100264,ACTAS_EXTRANJERAS_1000\acta_extranjera_0257.jpg,OK
254,100234,ACTAS_EXTRANJERAS_1000\acta_extranjera_0254.jpg,OK
256,100254,ACTAS_EXTRANJERAS_1000\acta_extranjera_0256.jpg,OK
255,100244,ACTAS_EXTRANJERAS_1000\acta_extranjera_0255.jpg,OK
258,100274,ACTAS_EXTRANJERAS_1000\acta_extranjera_0258.jpg,OK
259,101414,ACTAS_EXTRANJERAS_1000\acta_extranjera_0259.jpg,OK
260,101424,ACTAS_EXTRANJERAS_1000\acta_extranjera_0260.jpg,OK
261,101434,ACTAS_EXTRANJERAS_1000\acta_extranjera_0261.jpg,OK
264,101464,ACTAS_EXTRANJERAS_1000\acta_extranjera_0264.jpg,OK
263,101454,ACTAS_EXTRANJERAS_1000\acta_extranjera_0263.jpg,OK
262,101444,ACTAS_EXTRANJERAS_1000\acta_extranjera_0262.jpg,OK
265,101474,ACTAS_EXTRANJERAS_1000\acta_extranjera_0265.jpg,OK
266,101484,ACTAS_EXTRANJERAS_1000\acta_extranjera_0266.jpg,OK
269,100884,ACTAS_EXTRANJERAS_1000\acta_extranjera_0269.jpg,OK
271,100904,ACTAS_EXTRANJERAS_1000\acta_extranjera_0271.jpg,OK
268,100874,ACTAS_EXTRANJERAS_1000\acta_extranjera_0268.jpg,OK
267,101494,ACTAS_EXTRANJERAS_1000\acta_extranjera_0267.jpg,OK
272,100914,ACTAS_EXTRANJERAS_1000\acta_extranjera_0272.jpg,OK
270,100894,ACTAS_EXTRANJERAS_1000\acta_extranjera_0270.jpg,OK
273,100924,ACTAS_EXTRANJERAS_1000\acta_extranjera_0273.jpg,OK
274,100934,ACTAS_EXTRANJERAS_1000\acta_extranjera_0274.jpg,OK
275,100944,ACTAS_EXTRANJERAS_1000\acta_extranjera_0275.jpg,OK
277,104014,ACTAS_EXTRANJERAS_1000\acta_extranjera_0277.jpg,OK
278,104024,ACTAS_EXTRANJERAS_1000\acta_extranjera_0278.jpg,OK
276,100954,ACTAS_EXTRANJERAS_1000\acta_extranjera_0276.jpg,OK
280,101164,ACTAS_EXTRANJERAS_1000\acta_extranjera_0280.jpg,OK
279,101154,ACTAS_EXTRANJERAS_1000\acta_extranjera_0279.jpg,OK
281,101174,ACTAS_EXTRANJERAS_1000\acta_extranjera_0281.jpg,OK
282,101184,ACTAS_EXTRANJERAS_1000\acta_extranjera_0282.jpg,OK
283,101194,ACTAS_EXTRANJERAS_1000\acta_extranjera_0283.jpg,OK
284,101204,ACTAS_EXTRANJERAS_1000\acta_extranjera_0284.jpg,OK
286,101224,ACTAS_EXTRANJERAS_1000\acta_extranjera_0286.jpg,OK
285,101214,ACTAS_EXTRANJERAS_1000\acta_extranjera_0285.jpg,OK
287,104034,ACTAS_EXTRANJERAS_1000\acta_extranjera_0287.jpg,OK
288,104044,ACTAS_EXTRANJERAS_1000\acta_extranjera_0288.jpg,OK
289,104054,ACTAS_EXTRANJERAS_1000\acta_extranjera_0289.jpg,OK
290,104064,ACTAS_EXTRANJERAS_1000\acta_extranjera_0290.jpg,OK
291,104074,ACTAS_EXTRANJERAS_1000\acta_extranjera_0291.jpg,OK
